puzzleid,date_posted,title,author,difficulty,players_solved,mean_sol_len,mode_sol_len,min_sol_len,likes,dislikes,datetime_posted,year,month,day,yearindays,monthindays,day_posted
9977,11/21/2017 5:17:32 PM,Traz Challenging 1,trazengr100,2,23,8.4782608696,0,6,3,1,2017-11-21 17:17:32,9,11,21,3287,304,3612
9976,11/21/2017 4:57:37 PM,Traz Iteration,trazengr100,1.21,152,4.1052631579,4,4,21,10,2017-11-21 16:57:37,9,11,21,3287,304,3612
9975,11/21/2017 4:50:03 PM,Traz Selection,trazengr100,1.67,38,8.1578947368,8,6,6,2,2017-11-21 16:50:03,9,11,21,3287,304,3612
9974,11/21/2017 4:31:22 PM,The tele,whoisjuan,1.18,50,7.52,5,5,3,8,2017-11-21 16:31:22,9,11,21,3287,304,3612
9973,11/21/2017 4:12:59 PM,Checkers,jordanchen23,1.7,32,8.75,6,6,4,1,2017-11-21 16:12:59,9,11,21,3287,304,3612
9972,11/21/2017 3:58:25 PM,flyby,jordanchen23,1.67,37,9.8918918919,0,5,4,2,2017-11-21 15:58:25,9,11,21,3287,304,3612
9971,11/21/2017 3:50:53 PM,Sea of Red Stars,jordanchen23,1.75,29,16.6896551724,0,9,2,1,2017-11-21 15:50:53,9,11,21,3287,304,3612
9970,11/21/2017 12:43:13 PM,The Mouth of a Monster,19s4105,1.89,24,19.7083333333,18,12,4,1,2017-11-21 12:43:13,9,11,21,3287,304,3612
9969,11/21/2017 12:28:30 PM,Alternating Alternator,19s4105,1.83,34,12.7058823529,12,9,7,1,2017-11-21 12:28:30,9,11,21,3287,304,3612
9968,11/21/2017 10:52:13 AM,Magic Stairs,kraker,3.33,4,20.75,22,19,1,0,2017-11-21 10:52:13,9,11,21,3287,304,3612
9967,11/21/2017 6:29:30 AM,The Magic Square,drmazhar,3,11,26.4545454545,27,23,4,0,2017-11-21 06:29:30,9,11,21,3287,304,3612
9966,11/20/2017 9:52:20 PM,Stairs,team7,3,13,12.9230769231,13,10,2,0,2017-11-20 21:52:20,9,11,20,3287,304,3611
9965,11/20/2017 7:43:13 PM,Ups and Downs,edgybanana,1.67,66,9.8939393939,10,9,9,0,2017-11-20 19:43:13,9,11,20,3287,304,3611
9964,11/20/2017 7:24:49 PM,Puzzle #2,EdgyBanana,2.13,20,8.15,8,8,5,0,2017-11-20 19:24:49,9,11,20,3287,304,3611
9963,11/20/2017 6:48:30 PM,I Wonder...?,team7,2.13,21,19.1904761905,19,10,5,1,2017-11-20 18:48:30,9,11,20,3287,304,3611
9962,11/20/2017 6:36:17 PM,Spiral Diral,EdgyBanana,1.54,42,4.9047619048,6,3,6,2,2017-11-20 18:36:17,9,11,20,3287,304,3611
9961,11/20/2017 6:16:10 PM,Function,team7,1.46,59,5.2203389831,5,5,4,5,2017-11-20 18:16:10,9,11,20,3287,304,3611
9960,11/20/2017 4:57:22 PM,Functions!,team7,1.67,50,8.08,6,6,5,4,2017-11-20 16:57:22,9,11,20,3287,304,3611
9959,11/20/2017 2:13:24 AM,"Half,Double,Double",drmazhar,3.17,10,27.7,27,27,2,0,2017-11-20 02:13:24,9,11,20,3287,304,3611
9958,11/19/2017 11:42:03 PM,Fizzle,FriendlyClam,1.64,83,11.4457831325,11,9,9,0,2017-11-19 23:42:03,9,11,19,3287,304,3610
9957,11/19/2017 11:39:51 PM,Too Much or Too Less?,CS_Squad,2.33,9,7.2222222222,7,7,0,0,2017-11-19 23:39:51,9,11,19,3287,304,3610
9956,11/19/2017 8:03:56 PM,MUST use ALL slots,team7,1.7,40,12.525,11,11,5,1,2017-11-19 20:03:56,9,11,19,3287,304,3610
9955,11/19/2017 7:59:17 PM,Notches Pickaxe,ashinboi,1.8,26,9.3076923077,8,8,4,0,2017-11-19 19:59:17,9,11,19,3287,304,3610
9954,11/19/2017 7:53:55 PM,Long Way Around,team7,1.7,36,9.9166666667,6,6,3,1,2017-11-19 19:53:55,9,11,19,3287,304,3610
9953,11/19/2017 6:16:33 PM,"Decisions, Decisions",Eng100Puzz,1.47,122,5.868852459,6,5,12,1,2017-11-19 18:16:33,9,11,19,3287,304,3610
9952,11/19/2017 5:49:12 PM,From me - To you.,slayer,2.33,10,5,5,5,0,0,2017-11-19 17:49:12,9,11,19,3287,304,3610
9951,11/19/2017 5:34:20 PM,Puzzle XI,slayer,3,2,8,8,8,0,0,2017-11-19 17:34:20,9,11,19,3287,304,3610
9950,11/19/2017 2:08:00 PM,This is a test,akomons0,1.29,198,19.0101010101,20,15,28,15,2017-11-19 14:08:00,9,11,19,3287,304,3610
9949,11/18/2017 4:47:41 PM,Mix 1,team7,1.21,114,4.1228070175,4,4,18,8,2017-11-18 16:47:41,9,11,18,3287,304,3609
9948,11/18/2017 4:29:28 PM,Selection?,team7,1.18,434,3.7396313364,4,3,61,28,2017-11-18 16:29:28,9,11,18,3287,304,3609
9947,11/18/2017 4:01:41 PM,Surrogate,axorion,3.5,4,22.5,0,21,1,0,2017-11-18 16:01:41,9,11,18,3287,304,3609
9946,11/17/2017 11:25:33 PM,Idiosyncratic,teamnaha,1.69,36,7,7,7,8,1,2017-11-17 23:25:33,9,11,17,3287,304,3608
9945,11/17/2017 9:45:08 PM,Smile!,teamnaha,1.32,89,4.2696629213,4,4,9,5,2017-11-17 21:45:08,9,11,17,3287,304,3608
9944,11/17/2017 6:02:54 PM,The strange,kingfisher3999,1.86,55,10.7454545455,10,9,9,0,2017-11-17 18:02:54,9,11,17,3287,304,3608
9943,11/17/2017 4:10:56 PM,hihihihihihihihi,485536,1.54,51,4.8235294118,4,4,11,2,2017-11-17 16:10:56,9,11,17,3287,304,3608
9942,11/17/2017 12:39:39 PM,Super Serious,19s4105,1.73,32,14.96875,0,7,7,1,2017-11-17 12:39:39,9,11,17,3287,304,3608
9941,11/17/2017 12:23:00 PM,When a bald man washes their face...,19s4105,1.5,42,9.4761904762,9,5,6,1,2017-11-17 12:23:00,9,11,17,3287,304,3608
9940,11/17/2017 8:30:06 AM,Wheel of Fortune,kraker,3,3,10,10,10,0,0,2017-11-17 08:30:06,9,11,17,3287,304,3608
9939,11/16/2017 6:39:49 PM,sorta hard,vonzalen,1.75,36,5.1388888889,5,5,6,1,2017-11-16 18:39:49,9,11,16,3287,304,3607
9938,11/16/2017 6:03:02 PM,On stage,vonzalen,2.5,9,5.7777777778,5,5,1,0,2017-11-16 18:03:02,9,11,16,3287,304,3607
9937,11/16/2017 4:54:37 PM,Maze,pbrbois,2.71,14,6.7857142857,7,6,2,0,2017-11-16 16:54:37,9,11,16,3287,304,3607
9936,11/16/2017 4:53:10 PM,Combination #2,pvemu4,1.75,35,10.4,8,8,3,1,2017-11-16 16:53:10,9,11,16,3287,304,3607
9935,11/16/2017 4:46:09 PM,Combination #1,pvemu4,1.86,28,12.75,12,9,3,2,2017-11-16 16:46:09,9,11,16,3287,304,3607
9934,11/16/2017 4:26:10 PM,Negatives 2,axorion,3.67,6,30.6666666667,33,28,2,0,2017-11-16 16:26:10,9,11,16,3287,304,3607
9933,11/16/2017 3:57:52 PM,Down then Up (version 2),drmazhar,3.5,5,20.8,21,20,0,0,2017-11-16 15:57:52,9,11,16,3287,304,3607
9932,11/16/2017 3:45:56 PM,Up Then Down (Version 2),drmazhar,3.5,5,20.8,21,20,1,0,2017-11-16 15:45:56,9,11,16,3287,304,3607
9931,11/16/2017 12:42:25 PM,The Diamond,19s4105,1.6,32,21,20,15,4,1,2017-11-16 12:42:25,9,11,16,3287,304,3607
9930,11/16/2017 7:55:02 AM,G-G-graphics,sem8,1.33,77,6.6753246753,6,6,11,2,2017-11-16 07:55:02,9,11,16,3287,304,3607
9929,11/15/2017 10:21:26 PM,Red Light Green Light,project2fann,1.29,76,14.4078947368,0,8,11,4,2017-11-15 22:21:26,9,11,15,3287,304,3606
9928,11/15/2017 3:20:00 PM,Recycle,cseng,1.88,35,10.5142857143,9,9,4,1,2017-11-15 15:20:00,9,11,15,3287,304,3606
9927,11/15/2017 12:40:30 PM,Loop de Froop,19s4105,1.73,31,16.1612903226,13,13,6,1,2017-11-15 12:40:30,9,11,15,3287,304,3606
9926,11/15/2017 12:19:31 PM,The Pole,19s4105,1.45,45,11.7111111111,10,8,4,1,2017-11-15 12:19:31,9,11,15,3287,304,3606
9925,11/15/2017 11:23:27 AM,Negatives,kraker,3,9,21.8888888889,19,18,3,0,2017-11-15 11:23:27,9,11,15,3287,304,3606
9924,11/14/2017 5:21:54 PM,forked,mlgroblox,1.75,31,10.2580645161,8,8,5,1,2017-11-14 17:21:54,9,11,14,3287,304,3605
9923,11/14/2017 4:49:49 PM,Pattern,engr100cs,1.28,103,6.1067961165,6,6,12,8,2017-11-14 16:49:49,9,11,14,3287,304,3605
9922,11/14/2017 4:36:29 PM,Puzzle Numero Uno,teamnaha,1.2,416,6.5552884615,7,5,59,19,2017-11-14 16:36:29,9,11,14,3287,304,3605
9921,11/14/2017 2:56:12 PM,Recurse,engr100cs,1.58,47,6.9787234043,7,6,7,2,2017-11-14 14:56:12,9,11,14,3287,304,3605
9920,11/14/2017 12:37:31 PM,Crane Game!,19s4105,1.8,41,13.0731707317,6,6,3,3,2017-11-14 12:37:31,9,11,14,3287,304,3605
9919,11/14/2017 12:30:14 PM,Off-Center II,19s4105,1.82,23,20.3913043478,0,10,5,2,2017-11-14 12:30:14,9,11,14,3287,304,3605
9918,11/14/2017 12:15:22 AM,Up Then Down,drmazhar,2.75,7,20,20,20,1,0,2017-11-14 00:15:22,9,11,14,3287,304,3605
9917,11/13/2017 11:26:54 AM,The H,CS_squad,2,27,16.4444444444,15,10,6,1,2017-11-13 11:26:54,9,11,13,3287,304,3604
9916,11/13/2017 5:19:10 AM,Down then Up,drmazhar,2.2,14,20.1428571429,0,15,4,0,2017-11-13 05:19:10,9,11,13,3287,304,3604
9915,11/13/2017 1:16:37 AM,good luck :P,othersans,1.53,92,8.7826086957,8,8,12,1,2017-11-13 01:16:37,9,11,13,3287,304,3604
9914,11/13/2017 12:45:15 AM,Sum of Greens 2,axorion,3,9,18.8888888889,19,18,3,0,2017-11-13 00:45:15,9,11,13,3287,304,3604
9913,11/11/2017 4:29:38 PM,O Christmas Tree,calliet,1.69,34,11.2352941176,10,9,7,1,2017-11-11 16:29:38,9,11,11,3287,304,3602
9912,11/11/2017 1:41:39 PM,2 in a row,niksan,1.88,23,12.8260869565,13,12,6,0,2017-11-11 13:41:39,9,11,11,3287,304,3602
9911,11/11/2017 8:59:12 AM,Sum of Greens.,drmazhar,2.75,6,16,16,16,2,0,2017-11-11 08:59:12,9,11,11,3287,304,3602
9910,11/11/2017 12:53:36 AM,Switches,drmazhar,2.83,11,11,11,11,4,0,2017-11-11 00:53:36,9,11,11,3287,304,3602
9909,11/10/2017 2:45:10 PM,4 is frog,niksan,1.6,39,7.3333333333,7,7,5,1,2017-11-10 14:45:10,9,11,10,3287,304,3601
9908,11/10/2017 12:25:13 PM,Pattern is important,niksan,2.75,9,6,6,6,1,1,2017-11-10 12:25:13,9,11,10,3287,304,3601
9907,11/10/2017 12:16:29 PM,ProMan,niksan,1.37,208,5,5,5,21,0,2017-11-10 12:16:29,9,11,10,3287,304,3601
9906,11/10/2017 12:14:09 PM,_|,niksan,1.38,83,6.9277108434,7,6,11,3,2017-11-10 12:14:09,9,11,10,3287,304,3601
9905,11/9/2017 9:15:54 PM,Déjà Vu,axorion,3.67,4,30.5,27,27,1,0,2017-11-09 21:15:54,9,11,9,3287,304,3600
9904,11/9/2017 4:24:06 PM,1 Star 1 Dream,CSSqwad,1.19,286,5,5,5,41,11,2017-11-09 16:24:06,9,11,9,3287,304,3600
9903,11/9/2017 11:11:14 AM,Off - Center,19s4105,1.78,28,19.6428571429,20,12,6,2,2017-11-09 11:11:14,9,11,9,3287,304,3600
9902,11/9/2017 10:50:35 AM,How would you hide a giraffe from the government?,19s4105,1.67,41,11.0975609756,9,7,6,2,2017-11-09 10:50:35,9,11,9,3287,304,3600
9898,11/9/2017 9:45:14 AM,Pyramid,CSSqwad,1.35,176,5,5,5,16,1,2017-11-09 09:45:14,9,11,9,3287,304,3600
9897,11/8/2017 4:58:54 PM,PuzzleUno,GingerSnap,1.59,57,5.1754385965,5,5,10,1,2017-11-08 16:58:54,9,11,8,3287,304,3599
9896,11/8/2017 2:35:57 PM,JDUBHVDHJVFT,485536,1.38,87,19.3448275862,15,15,9,4,2017-11-08 14:35:57,9,11,8,3287,304,3599
9895,11/8/2017 12:33:09 PM,ur bad iIi: tHe THiRd Onne,19s4105,1.75,36,12.9722222222,10,7,5,1,2017-11-08 12:33:09,9,11,8,3287,304,3599
9894,11/8/2017 12:22:53 PM,ur bad ii: tHe awakeninG,19s4105,1.31,112,24.7053571429,26,15,13,12,2017-11-08 12:22:53,9,11,8,3287,304,3599
9893,11/8/2017 9:33:49 AM,Rich Stack II,kraker,3,3,21.6666666667,21,21,0,0,2017-11-08 09:33:49,9,11,8,3287,304,3599
9892,11/8/2017 7:08:37 AM,Fractional Graduations,axorion,3,7,9,9,9,1,0,2017-11-08 07:08:37,9,11,8,3287,304,3599
9891,11/6/2017 10:25:33 PM,corners,vumaiya0,1.44,63,5,5,5,7,4,2017-11-06 22:25:33,9,11,6,3287,304,3597
9890,11/6/2017 1:29:25 PM,Turn left or skip the hole,drmazhar,3.14,13,20.5384615385,0,17,5,0,2017-11-06 13:29:25,9,11,6,3287,304,3597
9889,11/5/2017 11:16:14 PM,selection,pvemu4,1.26,129,5.8139534884,5,5,22,4,2017-11-05 23:16:14,9,11,5,3287,304,3596
9888,11/5/2017 11:14:03 PM,function calls,pvemu4,1.16,256,5.80859375,4,4,40,13,2017-11-05 23:14:03,9,11,5,3287,304,3596
9887,11/5/2017 11:00:56 PM,Iterations Puzzle,pvemu4,1.58,97,5.2268041237,5,5,5,1,2017-11-05 23:00:56,9,11,5,3287,304,3596
9886,11/5/2017 4:57:06 AM,No More Than Eight,axorion,2.57,15,10,10,10,4,0,2017-11-05 04:57:06,9,11,5,3287,304,3596
9885,11/4/2017 4:12:03 PM,Snake,pbrbois,2.09,26,17.6153846154,20,13,5,1,2017-11-04 16:12:03,9,11,4,3287,304,3595
9884,11/4/2017 8:36:13 AM,Less than or Equal,drmazhar,2,19,12.6315789474,13,11,5,0,2017-11-04 08:36:13,9,11,4,3287,304,3595
9883,11/3/2017 3:59:02 PM,Rich Stack,kraker,3.33,4,28.5,0,26,1,0,2017-11-03 15:59:02,9,11,3,3287,304,3594
9882,11/3/2017 8:48:06 AM,IRN,19s4105,1.91,30,15.1666666667,13,11,7,3,2017-11-03 08:48:06,9,11,3,3287,304,3594
9881,11/2/2017 2:15:08 PM,"Red=half,Green=Double",drmazhar,3,6,20,0,18,3,0,2017-11-02 14:15:08,9,11,2,3287,304,3593
9880,11/2/2017 12:44:34 PM,Half Counting,drmazhar,1.83,35,9,9,9,9,1,2017-11-02 12:44:34,9,11,2,3287,304,3593
9879,11/2/2017 12:41:38 PM,Double counting,drmazhar,1.88,84,9,9,9,20,0,2017-11-02 12:41:38,9,11,2,3287,304,3593
9878,11/2/2017 11:49:46 AM,ur bad,19s4105,1.47,47,8.2340425532,8,6,6,2,2017-11-02 11:49:46,9,11,2,3287,304,3593
9877,11/1/2017 4:12:21 PM,After Party,kraker,1.89,24,8.6666666667,8,8,5,0,2017-11-01 16:12:21,9,11,1,3287,304,3592
9876,11/1/2017 3:59:31 PM,Kaboom!,19s4105,1.82,29,9.5517241379,6,6,6,2,2017-11-01 15:59:31,9,11,1,3287,304,3592
9875,10/31/2017 1:59:36 PM,bro,485536,1.2,290,5.2068965517,4,4,55,13,2017-10-31 13:59:36,9,10,31,3287,273,3591
9874,10/31/2017 1:55:16 PM,Egg Puzzle,485536,1.71,62,7.8709677419,6,5,9,0,2017-10-31 13:55:16,9,10,31,3287,273,3591
9873,10/31/2017 1:47:08 PM,blueberries and apples,485536,1.69,52,6.7884615385,6,6,8,0,2017-10-31 13:47:08,9,10,31,3287,273,3591
9872,10/31/2017 12:19:57 PM,Apple tree,akabab,1.75,78,9,9,9,12,0,2017-10-31 12:19:57,9,10,31,3287,273,3591
9871,10/31/2017 11:54:04 AM,Chinese Flag,akabab,1.58,53,9.3018867925,10,6,8,0,2017-10-31 11:54:04,9,10,31,3287,273,3591
9870,10/31/2017 8:47:39 AM,Slither,19s4105,1.5,43,14.0697674419,9,9,4,2,2017-10-31 08:47:39,9,10,31,3287,273,3591
9869,10/30/2017 1:16:11 PM,Self guide built in,drmazhar,1.53,60,4.7833333333,4,4,11,4,2017-10-30 13:16:11,9,10,30,3287,273,3590
9868,10/30/2017 11:50:03 AM,Mirror with trigger,scorpio,2,5,12.6,12,12,1,0,2017-10-30 11:50:03,9,10,30,3287,273,3590
9867,10/29/2017 4:36:07 PM,The Blue Mirror,drmazhar,2.33,15,15,15,14,4,0,2017-10-29 16:36:07,9,10,29,3287,273,3589
9866,10/29/2017 3:33:18 PM,Carriage Return Line Feed,kraker,3,3,33.3333333333,31,31,0,0,2017-10-29 15:33:18,9,10,29,3287,273,3589
9865,10/28/2017 6:35:49 PM,Green pulses ==> Square waves,drmazhar,3,3,33,0,30,0,0,2017-10-28 18:35:49,9,10,28,3287,273,3588
9864,10/28/2017 8:55:05 AM,f1again,9651410232,1.58,40,10.35,10,10,6,1,2017-10-28 08:55:05,9,10,28,3287,273,3588
9863,10/27/2017 9:09:07 AM,Pong,axorion,3.5,8,16.125,0,15,3,0,2017-10-27 09:09:07,9,10,27,3287,273,3587
9862,10/26/2017 7:13:13 PM,swirls,boby,1.57,71,8.7887323944,10,7,8,0,2017-10-26 19:13:13,9,10,26,3287,273,3586
9861,10/26/2017 5:08:47 PM,Perfect Hoops,19s4105,1.89,24,21.5,19,16,4,0,2017-10-26 17:08:47,9,10,26,3287,273,3586
9860,10/25/2017 3:51:12 PM,10-4,485536,1.5,49,6.2653061224,6,6,8,1,2017-10-25 15:51:12,9,10,25,3287,273,3585
9859,10/25/2017 3:44:39 PM,ABC 123,485536,1.58,49,6.4285714286,6,6,6,0,2017-10-25 15:44:39,9,10,25,3287,273,3585
9858,10/25/2017 12:43:49 PM,The Curly Whirrly,19s4105,1.9,29,17.1379310345,0,10,5,1,2017-10-25 12:43:49,9,10,25,3287,273,3585
9857,10/25/2017 1:26:25 AM,HÄ,avgj,1.91,28,5.2142857143,5,5,5,2,2017-10-25 01:26:25,9,10,25,3287,273,3585
9856,10/24/2017 12:45:39 PM,The Dipstick,19s4105,1.55,45,7.5333333333,8,6,5,2,2017-10-24 12:45:39,9,10,24,3287,273,3584
9855,10/24/2017 12:34:57 PM,The Roundabout,19s4105,1.6,40,7.875,8,7,6,1,2017-10-24 12:34:57,9,10,24,3287,273,3584
9854,10/24/2017 11:34:05 AM,Mickey Mouse,avgj,1.83,31,5.2258064516,5,5,6,2,2017-10-24 11:34:05,9,10,24,3287,273,3584
9853,10/24/2017 11:00:57 AM,e,avgj,1.2,190,3,3,3,32,7,2017-10-24 11:00:57,9,10,24,3287,273,3584
9852,10/24/2017 10:42:11 AM,froney,avgj,1.29,103,5,5,5,17,8,2017-10-24 10:42:11,9,10,24,3287,273,3584
9851,10/24/2017 7:54:56 AM,spiral web,avgj,1.6,104,5,5,5,14,1,2017-10-24 07:54:56,9,10,24,3287,273,3584
9850,10/24/2017 5:20:16 AM,Magic C,Bristoche,1.82,31,8.2258064516,9,7,8,1,2017-10-24 05:20:16,9,10,24,3287,273,3584
9849,10/23/2017 2:24:10 PM,Stomach Cleaning,drmazhar,3,6,8.5,9,7,3,0,2017-10-23 14:24:10,9,10,23,3287,273,3583
9848,10/23/2017 2:19:23 PM,Mystery Ride,avgj,3,3,11.3333333333,12,10,2,1,2017-10-23 14:19:23,9,10,23,3287,273,3583
9847,10/23/2017 10:41:23 AM,smile,avgj,1.35,65,4,4,4,6,5,2017-10-23 10:41:23,9,10,23,3287,273,3583
9846,10/22/2017 3:14:56 PM,magic B,Bristoche,1.87,98,5,5,5,16,0,2017-10-22 15:14:56,9,10,22,3287,273,3582
9845,10/22/2017 2:47:03 PM,Submit!,avgj,1.47,53,6,6,6,9,4,2017-10-22 14:47:03,9,10,22,3287,273,3582
9844,10/22/2017 1:49:07 PM,non simmetry cross,avgj,1.36,62,5,5,5,7,4,2017-10-22 13:49:07,9,10,22,3287,273,3582
9843,10/22/2017 1:45:42 PM,non symmetry cross,avgj,1.29,82,5,5,5,10,7,2017-10-22 13:45:42,9,10,22,3287,273,3582
9842,10/22/2017 1:39:44 PM,snake,avgj,1.46,47,4,4,4,8,4,2017-10-22 13:39:44,9,10,22,3287,273,3582
9841,10/22/2017 10:00:18 AM,Wow,avgj,1.29,102,4,4,4,15,11,2017-10-22 10:00:18,9,10,22,3287,273,3582
9840,10/22/2017 2:09:25 AM,Stab In The Dark,axorion,4,2,19.5,0,19,0,0,2017-10-22 02:09:25,9,10,22,3287,273,3582
9839,10/21/2017 10:07:50 PM,The lion,boby,1.5,47,9.1063829787,9,8,7,0,2017-10-21 22:07:50,9,10,21,3287,273,3581
9838,10/21/2017 7:49:24 PM,tiny,boby,1.38,44,4,4,4,5,10,2017-10-21 19:49:24,9,10,21,3287,273,3581
9837,10/21/2017 7:47:20 PM,Green vines,boby,2,17,9.7647058824,10,9,2,0,2017-10-21 19:47:20,9,10,21,3287,273,3581
9836,10/21/2017 9:48:27 AM,Squares.,drmazhar,2.22,17,14.5882352941,15,14,7,0,2017-10-21 09:48:27,9,10,21,3287,273,3581
9835,10/20/2017 2:30:20 PM,LOOP,boby,2.06,42,10,10,10,10,0,2017-10-20 14:30:20,9,10,20,3287,273,3580
9834,10/20/2017 2:09:13 PM,CHECKERS,boby,1.88,25,12.36,7,7,3,1,2017-10-20 14:09:13,9,10,20,3287,273,3580
9833,10/20/2017 1:47:13 PM,HUH?,boby,1.53,113,6.7610619469,5,5,13,0,2017-10-20 13:47:13,9,10,20,3287,273,3580
9832,10/20/2017 7:13:37 AM,Ghost Rider,kraker,2.43,16,10.375,10,10,3,0,2017-10-20 07:13:37,9,10,20,3287,273,3580
9831,10/19/2017 4:41:45 PM,Right on double red,Mattis,1.71,36,9.5277777778,10,7,7,2,2017-10-19 16:41:45,9,10,19,3287,273,3579
9830,10/19/2017 3:46:20 AM,Postions of Green,drmazhar,3.4,11,22.0909090909,25,16,4,0,2017-10-19 03:46:20,9,10,19,3287,273,3579
9829,10/18/2017 3:29:42 PM,"You say ""stop""",kraker,2.29,20,6.85,7,6,5,0,2017-10-18 15:29:42,9,10,18,3287,273,3578
9828,10/18/2017 2:30:56 AM,Confused,drmazhar,2.29,17,11.2941176471,12,10,3,0,2017-10-18 02:30:56,9,10,18,3287,273,3578
9827,10/17/2017 6:05:15 PM,Half Full,axorion,3,6,22.6666666667,23,19,2,0,2017-10-17 18:05:15,9,10,17,3287,273,3577
9826,10/17/2017 3:59:18 AM,Exit (Version2),drmazhar,2.11,18,17.2777777778,14,14,3,4,2017-10-17 03:59:18,9,10,17,3287,273,3577
9825,10/17/2017 3:36:07 AM,Exit,drmazhar,2.67,15,8,8,8,2,0,2017-10-17 03:36:07,9,10,17,3287,273,3577
9824,10/16/2017 1:00:15 AM,Easter egg,axorion,2.67,11,20.1818181818,20,20,2,0,2017-10-16 01:00:15,9,10,16,3287,273,3576
9823,10/15/2017 10:53:32 PM,Armour,avyay,1.21,132,5.696969697,4,4,19,7,2017-10-15 22:53:32,9,10,15,3287,273,3575
9822,10/15/2017 5:17:34 AM,Alternate Interior Angles,axorion,3,12,17.75,0,17,3,0,2017-10-15 05:17:34,9,10,15,3287,273,3575
9821,10/13/2017 1:56:24 PM,push-me-pull-you light,scorpio,3,2,16,16,16,0,0,2017-10-13 13:56:24,9,10,13,3287,273,3573
9820,10/13/2017 8:45:29 AM,Upsizing Engine ( Version 6 ),drmazhar,2.83,10,15,15,15,3,0,2017-10-13 08:45:29,9,10,13,3287,273,3573
9819,10/13/2017 8:35:29 AM,Miniaturization Engine (Version 5),drmazhar,3.2,9,13.7777777778,14,13,2,0,2017-10-13 08:35:29,9,10,13,3287,273,3573
9818,10/12/2017 3:15:05 AM,Projections,drmazhar,2.33,11,17,16,14,2,0,2017-10-12 03:15:05,9,10,12,3287,273,3572
9817,10/11/2017 10:19:20 PM,Help!!!!!!!!!!!!!!,Mattis,1.73,55,7.8181818182,8,7,10,2,2017-10-11 22:19:20,9,10,11,3287,273,3571
9816,10/11/2017 3:20:13 AM,Sequantial Sprials.,drmazhar,3,4,27.75,0,23,0,0,2017-10-11 03:20:13,9,10,11,3287,273,3571
9815,10/10/2017 7:59:40 PM,Fibonacci Spiral,scorpio,3,3,19.3333333333,19,19,0,0,2017-10-10 19:59:40,9,10,10,3287,273,3570
9814,10/9/2017 8:57:28 PM,Detour Signage,BobbyTables,2.5,11,13,13,13,4,0,2017-10-09 20:57:28,9,10,9,3287,273,3569
9813,10/9/2017 8:42:41 PM,Langton's Ant,BobbyTables,2.8,10,7.4,7,7,2,0,2017-10-09 20:42:41,9,10,9,3287,273,3569
9812,10/6/2017 5:09:32 PM,For the belaboring of mr. Kraker,axorion,3,9,17,16,16,2,0,2017-10-06 17:09:32,9,10,6,3287,273,3566
9811,10/6/2017 4:30:49 PM,For the betterment of mr. Kraker,edsaw,2.5,6,15.6666666667,0,12,3,0,2017-10-06 16:30:49,9,10,6,3287,273,3566
9810,10/6/2017 3:35:28 PM,For the benefit of mr. Kite,kraker,2.25,12,18.0833333333,19,12,3,0,2017-10-06 15:35:28,9,10,6,3287,273,3566
9809,10/6/2017 2:04:32 PM,For the benefit of mr. Kite,kraker,2.33,14,18,0,12,2,0,2017-10-06 14:04:32,9,10,6,3287,273,3566
9808,10/6/2017 12:04:27 PM,Colorful line,21s5039,1.92,54,11.5740740741,10,5,10,0,2017-10-06 12:04:27,9,10,6,3287,273,3566
9807,10/6/2017 11:47:16 AM,Come in,belenus,1.5,49,16.5102040816,18,14,7,1,2017-10-06 11:47:16,9,10,6,3287,273,3566
9806,10/4/2017 4:07:00 PM,Miniaturization Engine (Version 4),drmazhar,3,10,10.5,11,8,3,0,2017-10-04 16:07:00,9,10,4,3287,273,3564
9805,10/4/2017 3:57:18 PM,Upsizing Engine ( Version 5 ),drmazhar,3.17,10,12,12,12,6,0,2017-10-04 15:57:18,9,10,4,3287,273,3564
9804,10/4/2017 1:26:34 PM,short maze,tkiesel,1.69,35,10.2857142857,11,7,4,2,2017-10-04 13:26:34,9,10,4,3287,273,3564
9803,10/3/2017 6:48:52 PM,Reflection of the difference,drmazhar,3.5,3,26.3333333333,0,25,2,0,2017-10-03 18:48:52,9,10,3,3287,273,3563
9802,10/1/2017 11:08:32 PM,squiggly,madtho,2.11,24,9.1666666667,10,7,4,1,2017-10-01 23:08:32,9,10,1,3287,273,3561
9801,10/1/2017 12:54:10 PM,First Puzzle,harrisonpels,1.57,115,5,5,5,16,1,2017-10-01 12:54:10,9,10,1,3287,273,3561
9800,9/30/2017 6:34:27 PM,Core,axorion,3.33,5,14,0,13,2,0,2017-09-30 18:34:27,9,9,30,3287,243,3560
9799,9/30/2017 11:51:53 AM,Imma G,agkieselcs,1.35,84,4.0714285714,4,4,7,4,2017-09-30 11:51:53,9,9,30,3287,243,3560
9798,9/30/2017 8:59:26 AM,Diamond Facets,axorion,2.7,14,14,14,14,5,0,2017-09-30 08:59:26,9,9,30,3287,243,3560
9797,9/29/2017 10:07:24 PM,Back and Forth,imgeniusgamer,1.8,32,10.875,10,7,5,2,2017-09-29 22:07:24,9,9,29,3287,243,3559
9796,9/29/2017 3:43:09 PM,trail,5246697,1.3,120,8,8,8,19,2,2017-09-29 15:43:09,9,9,29,3287,243,3559
9795,9/29/2017 3:42:16 PM,jhyt,5246697,1.59,77,8,8,8,13,2,2017-09-29 15:42:16,9,9,29,3287,243,3559
