puzzleid,functions,function_lengths,paint
10107,5,"['-sublen7', '-sublen9', '-sublen10', '-sublen9', '-sublen1']",[1]
10106,3,"['-sublen10', '-sublen10', '-sublen10']",[1]
10105,3,"['-sublen5', '-sublen8', '-sublen3']",[0]
10104,3,"['-sublen5', '-sublen3', '-sublen2']",[0]
10103,3,"['-sublen4', '-sublen4', '-sublen4']",[0]
10102,2,"['-sublen3', '-sublen2']",[0]
10101,2,"['-sublen6', '-sublen6']",[1]
10100,3,"['-sublen4', '-sublen3', '-sublen2']",[0]
10099,3,"['-sublen2', '-sublen5', '-sublen3']",[0]
10098,3,"['-sublen3', '-sublen3', '-sublen3']",[0]
10097,1,['-sublen10'],[0]
10096,1,['-sublen5'],[0]
10095,1,['-sublen5'],[0]
10094,1,['-sublen5'],[0]
10093,1,['-sublen10'],[0]
10092,3,"['-sublen2', '-sublen2', '-sublen2']",[0]
10088,1,['-sublen10'],[0]
10087,2,"['-sublen4', '-sublen5']",[0]
10086,1,['-sublen10'],[0]
10084,4,"['-sublen7', '-sublen3', '-sublen4', '-sublen2']",[0]
10078,5,"['-sublen10', '-sublen4', '-sublen4', '-sublen6', '-sublen4']",[0]
10077,1,['-sublen3'],[0]
10076,1,['-sublen4'],[0]
10075,5,"['-sublen10', '-sublen7', '-sublen4', '-sublen2', '-sublen4']",[0]
10074,4,"['-sublen4', '-sublen5', '-sublen4', '-sublen3']",[0]
10073,5,"['-sublen1', '-sublen8', '-sublen2', '-sublen3', '-sublen6']",[0]
10072,4,"['-sublen4', '-sublen4', '-sublen4', '-sublen2']",[0]
10071,3,"['-sublen10', '-sublen10', '-sublen10']",[0]
10070,1,['-sublen10'],[0]
10069,1,['-sublen10'],[0]
10068,3,"['-sublen5', '-sublen5', '-sublen9']",[0]
10067,2,"['-sublen10', '-sublen10']",[0]
10066,2,"['-sublen8', '-sublen7']",[0]
10065,1,['-sublen8'],[0]
10064,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
10063,4,"['-sublen2', '-sublen2', '-sublen2', '-sublen2']",[0]
10062,2,"['-sublen10', '-sublen1']",[0]
10061,3,"['-sublen6', '-sublen3', '-sublen2']",[0]
10060,2,"['-sublen4', '-sublen2']",[1]
10059,1,['-sublen7'],[0]
10058,3,"['-sublen2', '-sublen3', '-sublen3']",[1]
10057,2,"['-sublen3', '-sublen2']",[0]
10056,2,"['-sublen10', '-sublen6']",[0]
10055,3,"['-sublen10', '-sublen9', '-sublen10']",[1]
10054,3,"['-sublen7', '-sublen3', '-sublen3']",[0]
10053,3,"['-sublen4', '-sublen5', '-sublen4']",[0]
10052,1,['-sublen6'],[0]
10051,5,"['-sublen2', '-sublen6', '-sublen7', '-sublen4', '-sublen9']",[0]
10050,1,['-sublen7'],[0]
10049,1,['-sublen10'],[0]
10048,1,['-sublen10'],[0]
10047,2,"['-sublen6', '-sublen4']",[0]
10046,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
10045,3,"['-sublen8', '-sublen4', '-sublen8']",[0]
10044,2,"['-sublen4', '-sublen3']",[1]
10043,1,['-sublen10'],[0]
10042,2,"['-sublen10', '-sublen10']",[0]
10041,2,"['-sublen9', '-sublen5']",[0]
10040,2,"['-sublen6', '-sublen4']",[0]
10039,1,['-sublen5'],[0]
10038,5,"['-sublen7', '-sublen5', '-sublen3', '-sublen4', '-sublen3']",[0]
10037,2,"['-sublen5', '-sublen5']",[0]
10036,3,"['-sublen3', '-sublen5', '-sublen1']",[0]
10035,2,"['-sublen4', '-sublen2']",[1]
10034,2,"['-sublen2', '-sublen3']",[0]
10033,1,['-sublen6'],[0]
10032,1,['-sublen10'],[0]
10031,1,['-sublen5'],[0]
10030,2,"['-sublen2', '-sublen6']",[0]
10029,2,"['-sublen3', '-sublen6']",[0]
10028,2,"['-sublen4', '-sublen4']",[0]
10027,1,['-sublen6'],[0]
10026,3,"['-sublen7', '-sublen3', '-sublen2']",[0]
10025,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
10024,3,"['-sublen3', '-sublen5', '-sublen6']",[0]
10023,3,"['-sublen5', '-sublen5', '-sublen5']",[0]
10022,4,"['-sublen5', '-sublen7', '-sublen3', '-sublen3']",[0]
10021,4,"['-sublen10', '-sublen6', '-sublen6', '-sublen5']",[0]
10020,3,"['-sublen2', '-sublen2', '-sublen2']",[0]
10019,5,"['-sublen10', '-sublen5', '-sublen3', '-sublen2', '-sublen2']",[0]
10018,3,"['-sublen5', '-sublen5', '-sublen5']",[0]
10017,3,"['-sublen2', '-sublen2', '-sublen2']",[0]
10016,2,"['-sublen2', '-sublen3']",[0]
10015,2,"['-sublen2', '-sublen3']",[0]
10014,2,"['-sublen6', '-sublen5']",[1]
10013,4,"['-sublen6', '-sublen6', '-sublen6', '-sublen6']",[0]
10012,5,"['-sublen2', '-sublen6', '-sublen2', '-sublen4', '-sublen4']",[0]
10011,1,['-sublen10'],[0]
10010,4,"['-sublen7', '-sublen7', '-sublen7', '-sublen2']",[0]
10009,3,"['-sublen4', '-sublen2', '-sublen2']",[0]
10008,4,"['-sublen4', '-sublen4', '-sublen2', '-sublen2']",[0]
10007,4,"['-sublen3', '-sublen3', '-sublen1', '-sublen1']",[1]
10006,2,"['-sublen2', '-sublen2']",[0]
10005,3,"['-sublen2', '-sublen2', '-sublen2']",[0]
10004,3,"['-sublen2', '-sublen2', '-sublen2']",[0]
10003,2,"['-sublen8', '-sublen3']",[0]
10002,3,"['-sublen5', '-sublen5', '-sublen3']",[0]
10001,3,"['-sublen4', '-sublen3', '-sublen3']",[0]
10000,4,"['-sublen4', '-sublen5', '-sublen3', '-sublen4']",[0]
9999,3,"['-sublen2', '-sublen6', '-sublen3']",[0]
9998,5,"['-sublen3', '-sublen4', '-sublen5', '-sublen2', '-sublen3']",[0]
9997,4,"['-sublen9', '-sublen8', '-sublen4', '-sublen3']",[0]
9996,5,"['-sublen1', '-sublen2', '-sublen3', '-sublen2', '-sublen2']",[1]
9995,4,"['-sublen5', '-sublen8', '-sublen3', '-sublen3']",[0]
9994,4,"['-sublen9', '-sublen8', '-sublen4', '-sublen3']",[0]
9993,5,"['-sublen8', '-sublen8', '-sublen3', '-sublen6', '-sublen3']",[0]
9992,3,"['-sublen2', '-sublen10', '-sublen8']",[1]
9991,3,"['-sublen4', '-sublen3', '-sublen1']",[0]
9990,4,"['-sublen3', '-sublen5', '-sublen5', '-sublen5']",[0]
9989,1,['-sublen6'],[1]
9988,5,"['-sublen3', '-sublen3', '-sublen4', '-sublen4', '-sublen5']",[1]
9987,3,"['-sublen3', '-sublen2', '-sublen2']",[1]
9986,2,"['-sublen4', '-sublen10']",[1]
9985,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9984,3,"['-sublen10', '-sublen8', '-sublen8']",[0]
9983,3,"['-sublen10', '-sublen10', '-sublen10']",[1]
9982,3,"['-sublen10', '-sublen8', '-sublen3']",[0]
9981,2,"['-sublen5', '-sublen4']",[0]
9980,3,"['-sublen5', '-sublen2', '-sublen2']",[0]
9979,3,"['-sublen3', '-sublen2', '-sublen2']",[0]
9978,1,['-sublen6'],[0]
9977,3,"['-sublen10', '-sublen3', '-sublen2']",[0]
9976,1,['-sublen10'],[0]
9975,2,"['-sublen10', '-sublen5']",[0]
9974,5,"['-sublen7', '-sublen7', '-sublen7', '-sublen7', '-sublen7']",[0]
9973,2,"['-sublen10', '-sublen10']",[0]
9972,3,"['-sublen10', '-sublen10', '-sublen10']",[0]
9971,3,"['-sublen10', '-sublen10', '-sublen10']",[0]
9970,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9969,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9968,4,"['-sublen9', '-sublen6', '-sublen4', '-sublen3']",[0]
9967,4,"['-sublen9', '-sublen7', '-sublen7', '-sublen4']",[0]
9966,4,"['-sublen4', '-sublen4', '-sublen4', '-sublen3']",[0]
9965,2,"['-sublen5', '-sublen5']",[0]
9964,3,"['-sublen2', '-sublen4', '-sublen3']",[0]
9963,3,"['-sublen10', '-sublen10', '-sublen10']",[0]
9962,3,"['-sublen3', '-sublen1', '-sublen3']",[0]
9961,3,"['-sublen3', '-sublen3', '-sublen2']",[0]
9960,4,"['-sublen4', '-sublen4', '-sublen4', '-sublen2']",[0]
9959,5,"['-sublen8', '-sublen5', '-sublen5', '-sublen8', '-sublen3']",[0]
9958,2,"['-sublen6', '-sublen7']",[0]
9957,1,['-sublen8'],[0]
9956,3,"['-sublen8', '-sublen8', '-sublen8']",[0]
9955,3,"['-sublen6', '-sublen5', '-sublen2']",[0]
9954,3,"['-sublen10', '-sublen10', '-sublen10']",[0]
9953,1,['-sublen6'],[1]
9952,1,['-sublen5'],[1]
9951,5,"['-sublen8', '-sublen1', '-sublen1', '-sublen1', '-sublen1']",[1]
9950,2,"['-sublen10', '-sublen10']",[0]
9949,2,"['-sublen2', '-sublen3']",[0]
9948,1,['-sublen10'],[0]
9947,5,"['-sublen2', '-sublen3', '-sublen5', '-sublen5', '-sublen9']",[0]
9946,3,"['-sublen2', '-sublen2', '-sublen3']",[0]
9945,3,"['-sublen4', '-sublen1', '-sublen2']",[0]
9944,3,"['-sublen10', '-sublen7', '-sublen7']",[1]
9943,2,"['-sublen5', '-sublen5']",[0]
9942,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9941,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9940,2,"['-sublen2', '-sublen8']",[0]
9939,1,['-sublen6'],[1]
9938,1,['-sublen10'],[1]
9937,2,"['-sublen4', '-sublen4']",[0]
9936,4,"['-sublen6', '-sublen2', '-sublen3', '-sublen3']",[0]
9935,3,"['-sublen10', '-sublen5', '-sublen5']",[0]
9934,4,"['-sublen5', '-sublen10', '-sublen10', '-sublen8']",[0]
9933,5,"['-sublen3', '-sublen5', '-sublen4', '-sublen5', '-sublen4']",[0]
9932,5,"['-sublen3', '-sublen5', '-sublen4', '-sublen5', '-sublen4']",[0]
9931,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9930,3,"['-sublen4', '-sublen3', '-sublen4']",[0]
9929,4,"['-sublen6', '-sublen4', '-sublen6', '-sublen4']",[0]
9928,3,"['-sublen10', '-sublen3', '-sublen3']",[0]
9927,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9926,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9925,5,"['-sublen5', '-sublen5', '-sublen5', '-sublen10', '-sublen5']",[1]
9924,3,"['-sublen6', '-sublen5', '-sublen2']",[0]
9923,3,"['-sublen3', '-sublen4', '-sublen1']",[0]
9922,1,['-sublen10'],[1]
9921,2,"['-sublen8', '-sublen2']",[0]
9920,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9919,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9918,5,"['-sublen5', '-sublen4', '-sublen4', '-sublen2', '-sublen5']",[0]
9917,3,"['-sublen10', '-sublen6', '-sublen6']",[0]
9916,5,"['-sublen9', '-sublen4', '-sublen6', '-sublen3', '-sublen3']",[0]
9915,3,"['-sublen4', '-sublen3', '-sublen3']",[0]
9914,5,"['-sublen3', '-sublen6', '-sublen5', '-sublen3', '-sublen2']",[0]
9913,3,"['-sublen10', '-sublen2', '-sublen4']",[0]
9912,3,"['-sublen4', '-sublen6', '-sublen3']",[0]
9911,4,"['-sublen4', '-sublen6', '-sublen3', '-sublen3']",[1]
9910,2,"['-sublen9', '-sublen2']",[0]
9909,2,"['-sublen4', '-sublen4']",[0]
9908,1,['-sublen6'],[1]
9907,1,['-sublen5'],[1]
9906,2,"['-sublen4', '-sublen3']",[1]
9905,5,"['-sublen5', '-sublen10', '-sublen5', '-sublen10', '-sublen10']",[1]
9904,2,"['-sublen3', '-sublen2']",[0]
9903,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9902,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9898,1,['-sublen5'],[0]
9897,5,"['-sublen7', '-sublen7', '-sublen7', '-sublen7', '-sublen7']",[0]
9896,3,"['-sublen10', '-sublen10', '-sublen10']",[0]
9895,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9894,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9893,4,"['-sublen10', '-sublen5', '-sublen5', '-sublen5']",[0]
9892,2,"['-sublen2', '-sublen7']",[0]
9891,1,['-sublen5'],[0]
9890,5,"['-sublen5', '-sublen3', '-sublen8', '-sublen10', '-sublen2']",[1]
9889,1,['-sublen10'],[0]
9888,3,"['-sublen5', '-sublen5', '-sublen5']",[0]
9887,1,['-sublen10'],[0]
9886,2,"['-sublen8', '-sublen2']",[0]
9885,3,"['-sublen5', '-sublen9', '-sublen9']",[0]
9884,2,"['-sublen4', '-sublen9']",[0]
9883,4,"['-sublen10', '-sublen10', '-sublen10', '-sublen5']",[0]
9882,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9881,5,"['-sublen2', '-sublen8', '-sublen7', '-sublen3', '-sublen4']",[1]
9880,2,"['-sublen3', '-sublen6']",[0]
9879,2,"['-sublen3', '-sublen6']",[0]
9878,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9877,2,"['-sublen6', '-sublen6']",[0]
9876,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9875,2,"['-sublen8', '-sublen2']",[0]
9874,3,"['-sublen5', '-sublen5', '-sublen5']",[0]
9873,3,"['-sublen5', '-sublen5', '-sublen5']",[0]
9872,2,"['-sublen3', '-sublen6']",[0]
9871,2,"['-sublen4', '-sublen6']",[0]
9870,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9869,2,"['-sublen5', '-sublen5']",[0]
9868,2,"['-sublen10', '-sublen5']",[0]
9867,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9866,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen2']",[0]
9865,5,"['-sublen9', '-sublen7', '-sublen8', '-sublen9', '-sublen5']",[1]
9864,3,"['-sublen5', '-sublen3', '-sublen3']",[0]
9863,4,"['-sublen3', '-sublen10', '-sublen2', '-sublen2']",[0]
9862,2,"['-sublen5', '-sublen5']",[1]
9861,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9860,3,"['-sublen4', '-sublen5', '-sublen4']",[0]
9859,2,"['-sublen5', '-sublen5']",[0]
9858,5,"['-sublen9', '-sublen4', '-sublen4', '-sublen10', '-sublen10']",[1]
9857,5,"['-sublen5', '-sublen1', '-sublen2', '-sublen1', '-sublen1']",[0]
9856,3,"['-sublen3', '-sublen4', '-sublen4']",[0]
9855,2,"['-sublen4', '-sublen4']",[0]
9854,2,"['-sublen5', '-sublen3']",[0]
9853,1,['-sublen3'],[0]
9852,1,['-sublen5'],[1]
9851,1,['-sublen5'],[0]
9850,2,"['-sublen4', '-sublen5']",[0]
9849,2,"['-sublen4', '-sublen5']",[1]
9848,3,"['-sublen7', '-sublen2', '-sublen3']",[1]
9847,1,['-sublen4'],[0]
9846,1,['-sublen5'],[1]
9845,2,"['-sublen4', '-sublen2']",[0]
9844,1,['-sublen5'],[0]
9843,1,['-sublen5'],[0]
9842,1,['-sublen4'],[0]
9841,2,"['-sublen2', '-sublen2']",[0]
9840,4,"['-sublen6', '-sublen6', '-sublen4', '-sublen4']",[0]
9839,2,"['-sublen5', '-sublen5']",[0]
9838,2,"['-sublen2', '-sublen2']",[0]
9837,2,"['-sublen5', '-sublen5']",[1]
9836,3,"['-sublen7', '-sublen4', '-sublen4']",[1]
9835,2,"['-sublen4', '-sublen6']",[0]
9834,4,"['-sublen6', '-sublen6', '-sublen6', '-sublen6']",[0]
9833,2,"['-sublen9', '-sublen4']",[0]
9832,3,"['-sublen5', '-sublen5', '-sublen5']",[0]
9831,3,"['-sublen10', '-sublen5', '-sublen5']",[0]
9830,5,"['-sublen5', '-sublen6', '-sublen4', '-sublen6', '-sublen4']",[0]
9829,2,"['-sublen4', '-sublen4']",[0]
9828,4,"['-sublen2', '-sublen4', '-sublen3', '-sublen3']",[0]
9827,5,"['-sublen5', '-sublen5', '-sublen5', '-sublen5', '-sublen7']",[0]
9826,4,"['-sublen10', '-sublen4', '-sublen3', '-sublen5']",[0]
9825,2,"['-sublen3', '-sublen5']",[0]
9824,4,"['-sublen5', '-sublen5', '-sublen10', '-sublen2']",[0]
9823,1,['-sublen10'],[1]
9822,3,"['-sublen10', '-sublen5', '-sublen5']",[0]
9821,2,"['-sublen10', '-sublen6']",[0]
9820,2,"['-sublen8', '-sublen7']",[1]
9819,2,"['-sublen7', '-sublen7']",[1]
9818,3,"['-sublen5', '-sublen9', '-sublen5']",[0]
9817,2,"['-sublen3', '-sublen10']",[0]
9816,5,"['-sublen5', '-sublen7', '-sublen7', '-sublen5', '-sublen8']",[1]
9815,4,"['-sublen5', '-sublen10', '-sublen5', '-sublen5']",[1]
9814,2,"['-sublen6', '-sublen10']",[1]
9813,1,['-sublen10'],[1]
9812,5,"['-sublen10', '-sublen3', '-sublen3', '-sublen2', '-sublen2']",[0]
9811,4,"['-sublen5', '-sublen5', '-sublen5', '-sublen5']",[1]
9810,5,"['-sublen5', '-sublen5', '-sublen4', '-sublen4', '-sublen5']",[1]
9809,5,"['-sublen5', '-sublen5', '-sublen5', '-sublen5', '-sublen5']",[1]
9808,4,"['-sublen5', '-sublen4', '-sublen7', '-sublen4']",[1]
9807,4,"['-sublen6', '-sublen5', '-sublen4', '-sublen5']",[1]
9806,2,"['-sublen5', '-sublen6']",[1]
9805,2,"['-sublen6', '-sublen6']",[1]
9804,2,"['-sublen6', '-sublen7']",[0]
9803,5,"['-sublen10', '-sublen9', '-sublen4', '-sublen2', '-sublen3']",[1]
9802,2,"['-sublen5', '-sublen5']",[0]
9801,1,['-sublen5'],[1]
9800,3,"['-sublen5', '-sublen5', '-sublen5']",[1]
9799,1,['-sublen5'],[0]
9798,4,"['-sublen4', '-sublen4', '-sublen3', '-sublen3']",[0]
9797,3,"['-sublen10', '-sublen10', '-sublen5']",[0]
9796,3,"['-sublen4', '-sublen2', '-sublen2']",[0]
9795,3,"['-sublen4', '-sublen2', '-sublen2']",[1]
9794,3,"['-sublen10', '-sublen10', '-sublen10']",[0]
9793,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9792,2,"['-sublen5', '-sublen4']",[1]
9791,1,['-sublen10'],[0]
9790,2,"['-sublen7', '-sublen4']",[0]
9789,1,['-sublen10'],[0]
9788,2,"['-sublen6', '-sublen3']",[1]
9787,1,['-sublen4'],[0]
9786,4,"['-sublen5', '-sublen2', '-sublen2', '-sublen2']",[0]
9785,3,"['-sublen10', '-sublen10', '-sublen10']",[0]
9784,1,['-sublen10'],[0]
9783,1,['-sublen10'],[0]
9782,3,"['-sublen5', '-sublen5', '-sublen5']",[1]
9781,1,['-sublen10'],[1]
9780,1,['-sublen10'],[0]
9779,1,['-sublen5'],[0]
9778,1,['-sublen10'],[0]
9777,2,"['-sublen10', '-sublen8']",[0]
9776,2,"['-sublen10', '-sublen10']",[1]
9775,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9774,3,"['-sublen10', '-sublen8', '-sublen2']",[0]
9773,4,"['-sublen10', '-sublen10', '-sublen10', '-sublen6']",[0]
9772,1,['-sublen6'],[0]
9771,1,['-sublen10'],[0]
9770,1,['-sublen10'],[0]
9769,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9768,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9767,2,"['-sublen3', '-sublen5']",[1]
9766,1,['-sublen10'],[0]
9765,5,"['-sublen10', '-sublen7', '-sublen9', '-sublen5', '-sublen5']",[0]
9764,5,"['-sublen10', '-sublen5', '-sublen5', '-sublen5', '-sublen5']",[1]
9763,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9762,4,"['-sublen10', '-sublen5', '-sublen4', '-sublen3']",[0]
9761,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9760,2,"['-sublen5', '-sublen10']",[1]
9759,4,"['-sublen3', '-sublen6', '-sublen4', '-sublen3']",[0]
9758,4,"['-sublen3', '-sublen7', '-sublen4', '-sublen3']",[0]
9757,4,"['-sublen8', '-sublen6', '-sublen6', '-sublen4']",[1]
9756,2,"['-sublen5', '-sublen2']",[0]
9755,1,['-sublen10'],[0]
9754,2,"['-sublen5', '-sublen10']",[1]
9753,2,"['-sublen9', '-sublen9']",[0]
9752,5,"['-sublen10', '-sublen4', '-sublen6', '-sublen7', '-sublen6']",[0]
9751,2,"['-sublen5', '-sublen4']",[0]
9750,3,"['-sublen10', '-sublen10', '-sublen4']",[0]
9744,2,"['-sublen5', '-sublen5']",[0]
9743,3,"['-sublen5', '-sublen4', '-sublen4']",[0]
9742,5,"['-sublen6', '-sublen5', '-sublen2', '-sublen3', '-sublen4']",[0]
9741,4,"['-sublen10', '-sublen5', '-sublen2', '-sublen3']",[1]
9740,3,"['-sublen5', '-sublen5', '-sublen5']",[1]
9739,4,"['-sublen9', '-sublen10', '-sublen10', '-sublen5']",[0]
9738,4,"['-sublen5', '-sublen5', '-sublen7', '-sublen2']",[0]
9737,2,"['-sublen10', '-sublen10']",[0]
9736,3,"['-sublen4', '-sublen7', '-sublen3']",[0]
9735,2,"['-sublen6', '-sublen4']",[0]
9734,4,"['-sublen3', '-sublen2', '-sublen3', '-sublen4']",[1]
9733,3,"['-sublen4', '-sublen4', '-sublen3']",[1]
9732,3,"['-sublen5', '-sublen7', '-sublen4']",[0]
9731,5,"['-sublen8', '-sublen4', '-sublen8', '-sublen4', '-sublen4']",[0]
9730,4,"['-sublen1', '-sublen1', '-sublen1', '-sublen8']",[0]
9729,3,"['-sublen10', '-sublen5', '-sublen5']",[1]
9728,1,['-sublen5'],[1]
9727,1,['-sublen5'],[0]
9726,3,"['-sublen7', '-sublen4', '-sublen4']",[0]
9725,3,"['-sublen10', '-sublen10', '-sublen10']",[1]
9724,3,"['-sublen10', '-sublen10', '-sublen10']",[1]
9723,4,"['-sublen4', '-sublen4', '-sublen3', '-sublen4']",[0]
9722,2,"['-sublen5', '-sublen5']",[0]
9721,1,['-sublen10'],[0]
9720,1,['-sublen10'],[1]
9719,1,['-sublen10'],[0]
9718,4,"['-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9717,3,"['-sublen4', '-sublen3', '-sublen3']",[0]
9716,3,"['-sublen5', '-sublen10', '-sublen10']",[0]
9715,2,"['-sublen10', '-sublen10']",[0]
9714,3,"['-sublen2', '-sublen5', '-sublen5']",[0]
9713,3,"['-sublen6', '-sublen5', '-sublen5']",[0]
9712,3,"['-sublen3', '-sublen5', '-sublen3']",[1]
9711,5,"['-sublen5', '-sublen6', '-sublen3', '-sublen5', '-sublen3']",[1]
9710,1,['-sublen10'],[0]
9709,3,"['-sublen5', '-sublen5', '-sublen5']",[1]
9708,4,"['-sublen10', '-sublen5', '-sublen4', '-sublen7']",[1]
9707,1,['-sublen8'],[1]
9706,1,['-sublen10'],[0]
9705,2,"['-sublen2', '-sublen5']",[1]
9704,1,['-sublen10'],[0]
9703,2,"['-sublen8', '-sublen3']",[0]
9702,2,"['-sublen6', '-sublen3']",[0]
9701,1,['-sublen4'],[1]
9700,4,"['-sublen7', '-sublen3', '-sublen6', '-sublen2']",[0]
9699,1,['-sublen10'],[0]
9698,5,"['-sublen7', '-sublen2', '-sublen7', '-sublen2', '-sublen3']",[0]
9697,3,"['-sublen7', '-sublen2', '-sublen3']",[0]
9696,2,"['-sublen6', '-sublen7']",[0]
9695,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
9694,3,"['-sublen4', '-sublen4', '-sublen4']",[0]
9693,4,"['-sublen10', '-sublen5', '-sublen5', '-sublen5']",[1]
9692,3,"['-sublen5', '-sublen5', '-sublen5']",[1]
9691,3,"['-sublen10', '-sublen10', '-sublen9']",[0]
9690,1,['-sublen4'],[0]
9689,3,"['-sublen10', '-sublen10', '-sublen3']",[0]
9688,5,"['-sublen4', '-sublen7', '-sublen7', '-sublen4', '-sublen2']",[0]
9687,2,"['-sublen10', '-sublen3']",[0]
9686,1,['-sublen5'],[0]
9685,2,"['-sublen10', '-sublen10']",[1]
9684,3,"['-sublen5', '-sublen2', '-sublen3']",[0]
9683,2,"['-sublen5', '-sublen3']",[1]
9682,2,"['-sublen7', '-sublen5']",[0]
9681,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9680,2,"['-sublen10', '-sublen10']",[0]
9679,3,"['-sublen8', '-sublen4', '-sublen3']",[0]
9678,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9677,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9676,3,"['-sublen5', '-sublen5', '-sublen5']",[0]
9675,2,"['-sublen10', '-sublen10']",[0]
9674,3,"['-sublen10', '-sublen10', '-sublen10']",[0]
9673,1,['-sublen10'],[0]
9672,2,"['-sublen10', '-sublen10']",[0]
9671,1,['-sublen10'],[0]
9670,1,['-sublen10'],[0]
9669,2,"['-sublen10', '-sublen10']",[0]
9668,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9667,1,['-sublen6'],[0]
9666,1,['-sublen10'],[0]
9665,5,"['-sublen5', '-sublen5', '-sublen4', '-sublen4', '-sublen5']",[0]
9664,5,"['-sublen4', '-sublen5', '-sublen4', '-sublen4', '-sublen6']",[0]
9663,5,"['-sublen4', '-sublen6', '-sublen4', '-sublen4', '-sublen5']",[0]
9662,1,['-sublen8'],[0]
9661,4,"['-sublen4', '-sublen4', '-sublen10', '-sublen3']",[0]
9660,5,"['-sublen10', '-sublen4', '-sublen4', '-sublen3', '-sublen3']",[0]
9659,5,"['-sublen10', '-sublen4', '-sublen4', '-sublen3', '-sublen3']",[0]
9658,1,['-sublen8'],[0]
9657,2,"['-sublen5', '-sublen4']",[0]
9656,2,"['-sublen4', '-sublen4']",[0]
9655,3,"['-sublen10', '-sublen10', '-sublen10']",[0]
9654,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9653,4,"['-sublen7', '-sublen2', '-sublen6', '-sublen8']",[0]
9652,5,"['-sublen10', '-sublen3', '-sublen7', '-sublen9', '-sublen4']",[1]
9651,3,"['-sublen7', '-sublen5', '-sublen5']",[0]
9650,3,"['-sublen3', '-sublen4', '-sublen2']",[0]
9649,5,"['-sublen2', '-sublen4', '-sublen4', '-sublen3', '-sublen3']",[0]
9648,2,"['-sublen1', '-sublen5']",[0]
9647,3,"['-sublen3', '-sublen4', '-sublen7']",[0]
9646,2,"['-sublen7', '-sublen3']",[0]
9645,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
9644,1,['-sublen6'],[0]
9643,4,"['-sublen4', '-sublen3', '-sublen4', '-sublen4']",[0]
9642,5,"['-sublen9', '-sublen10', '-sublen10', '-sublen10', '-sublen2']",[0]
